,city,customer_name,On Time,In Full,On Time In Full
68,Ahmedabad,Chiptec Stores,1,0,0
69,Vadodara,Vijay Stores,1,0,0
70,Ahmedabad,Lotus Mart,0,0,0
71,Ahmedabad,Lotus Mart,1,0,0
72,Surat,Chiptec Stores,0,1,0
73,Surat,Lotus Mart,0,1,0
74,Ahmedabad,Sorefoz Mart,1,0,0
75,Surat,Atlas Stores,1,1,1
76,Surat,Rel Fresh,1,0,0
77,Ahmedabad,Vijay Stores,1,1,1
78,Vadodara,Coolblue,0,0,0
79,Ahmedabad,Expert Mart,0,1,0
80,Vadodara,Expert Mart,1,0,0
81,Vadodara,Expert Mart,1,1,1
82,Surat,Lotus Mart,0,0,0
83,Surat,Rel Fresh,1,1,1
84,Surat,Atlas Stores,1,1,1
85,Ahmedabad,Rel Fresh,1,0,0
86,Surat,Acclaimed Stores,0,1,0
87,Surat,Acclaimed Stores,0,0,0
88,Vadodara,Viveks Stores,1,1,1
89,Vadodara,Viveks Stores,1,1,1
90,Surat,Propel Mart,1,0,0
91,Surat,Propel Mart,1,1,1
92,Ahmedabad,Logic Stores,0,0,0
93,Ahmedabad,Sorefoz Mart,1,0,0
94,Ahmedabad,Acclaimed Stores,0,1,0
95,Surat,Acclaimed Stores,0,0,0
96,Surat,Chiptec Stores,1,1,1
97,Vadodara,Lotus Mart,0,0,0
98,Vadodara,Elite Mart,1,0,0
99,Surat,Lotus Mart,1,0,0
100,Surat,Vijay Stores,1,0,0
101,Ahmedabad,Rel Fresh,1,1,1
102,Vadodara,Expression Stores,1,0,0
103,Ahmedabad,Coolblue,1,1,1
104,Vadodara,Acclaimed Stores,0,1,0
105,Vadodara,Vijay Stores,1,0,0
106,Surat,Atlas Stores,1,0,0
107,Vadodara,Expert Mart,1,0,0
108,Vadodara,Expert Mart,1,1,1
109,Surat,Logic Stores,0,1,0
110,Surat,Atlas Stores,1,0,0
111,Surat,Atlas Stores,1,1,1
112,Ahmedabad,Chiptec Stores,1,1,1
113,Ahmedabad,Atlas Stores,1,1,1
114,Ahmedabad,Atlas Stores,1,0,0
115,Vadodara,Vijay Stores,1,0,0
116,Surat,Propel Mart,1,0,0
117,Surat,Propel Mart,1,1,1
118,Ahmedabad,Logic Stores,1,0,0
119,Surat,Chiptec Stores,0,1,0
120,Surat,Acclaimed Stores,0,0,0
121,Surat,Vijay Stores,1,1,1
122,Vadodara,Lotus Mart,0,0,0
123,Vadodara,Info Stores,1,1,1
124,Ahmedabad,Sorefoz Mart,1,0,0
125,Surat,Info Stores,1,0,0
126,Surat,Info Stores,1,0,0
127,Vadodara,Expression Stores,1,1,1
128,Ahmedabad,Expert Mart,1,1,1
129,Ahmedabad,Expert Mart,1,0,0
130,Surat,Viveks Stores,1,1,1
131,Surat,Viveks Stores,1,1,1
132,Surat,Viveks Stores,1,1,1
133,Ahmedabad,Propel Mart,1,0,0
134,Ahmedabad,Atlas Stores,1,1,1
135,Vadodara,Acclaimed Stores,0,1,0
136,Vadodara,Viveks Stores,1,0,0
137,Vadodara,Coolblue,0,1,0
138,Vadodara,Coolblue,1,1,1
139,Surat,Propel Mart,1,1,1
140,Surat,Expression Stores,0,1,0
141,Ahmedabad,Elite Mart,0,0,0
142,Ahmedabad,Rel Fresh,1,0,0
143,Ahmedabad,Logic Stores,0,1,0
144,Surat,Lotus Mart,0,1,0
145,Surat,Lotus Mart,0,1,0
146,Ahmedabad,Chiptec Stores,0,1,0
147,Ahmedabad,Chiptec Stores,1,0,0
148,Vadodara,Lotus Mart,0,1,0
149,Vadodara,Acclaimed Stores,0,0,0
150,Ahmedabad,Rel Fresh,1,0,0
151,Ahmedabad,Sorefoz Mart,1,0,0
152,Surat,Acclaimed Stores,0,0,0
153,Ahmedabad,Elite Mart,0,0,0
154,Vadodara,Vijay Stores,1,0,0
155,Surat,Rel Fresh,1,0,0
156,Vadodara,Expert Mart,1,0,0
157,Surat,Vijay Stores,1,1,1
158,Surat,Atlas Stores,1,1,1
159,Vadodara,Coolblue,0,0,0
160,Ahmedabad,Chiptec Stores,0,1,0
161,Vadodara,Elite Mart,1,0,0
162,Ahmedabad,Expert Mart,0,1,0
163,Ahmedabad,Lotus Mart,1,0,0
164,Ahmedabad,Lotus Mart,0,1,0
165,Ahmedabad,Vijay Stores,1,1,1
166,Surat,Propel Mart,1,1,1
167,Surat,Viveks Stores,1,1,1
168,Vadodara,Info Stores,0,1,0
169,Surat,Lotus Mart,0,1,0
170,Surat,Propel Mart,0,1,0
171,Surat,Logic Stores,0,0,0
172,Ahmedabad,Logic Stores,1,0,0
173,Surat,Info Stores,1,1,1
174,Surat,Acclaimed Stores,1,0,0
175,Vadodara,Viveks Stores,1,1,1
176,Vadodara,Rel Fresh,1,1,1
177,Ahmedabad,Elite Mart,1,1,1
178,Ahmedabad,Chiptec Stores,1,1,1
179,Vadodara,Coolblue,0,0,0
180,Vadodara,Coolblue,1,0,0
181,Ahmedabad,Expert Mart,0,1,0
182,Ahmedabad,Atlas Stores,0,1,0
183,Ahmedabad,Atlas Stores,0,1,0
184,Vadodara,Expert Mart,0,0,0
185,Vadodara,Expert Mart,1,0,0
186,Ahmedabad,Rel Fresh,0,1,0
187,Surat,Expression Stores,1,1,1
188,Ahmedabad,Acclaimed Stores,0,0,0
189,Surat,Propel Mart,1,1,1
190,Surat,Chiptec Stores,1,1,1
191,Ahmedabad,Chiptec Stores,1,1,1
192,Ahmedabad,Vijay Stores,1,1,1
193,Vadodara,Vijay Stores,1,0,0
194,Surat,Viveks Stores,1,1,1
195,Surat,Atlas Stores,1,1,1
196,Ahmedabad,Sorefoz Mart,1,1,1
197,Surat,Rel Fresh,0,0,0
198,Vadodara,Expert Mart,1,0,0
199,Surat,Vijay Stores,0,1,0
200,Surat,Acclaimed Stores,0,0,0
201,Vadodara,Rel Fresh,1,1,1
202,Surat,Lotus Mart,0,1,0
203,Vadodara,Propel Mart,1,0,0
204,Ahmedabad,Coolblue,1,0,0
205,Vadodara,Elite Mart,1,1,1
206,Surat,Chiptec Stores,1,1,1
207,Ahmedabad,Atlas Stores,1,1,1
208,Surat,Vijay Stores,1,1,1
209,Vadodara,Expression Stores,1,1,1
210,Ahmedabad,Vijay Stores,1,0,0
211,Ahmedabad,Propel Mart,1,1,1
212,Surat,Logic Stores,1,1,1
213,Surat,Expression Stores,1,1,1
214,Surat,Expression Stores,1,0,0
215,Vadodara,Expression Stores,1,1,1
216,Ahmedabad,Sorefoz Mart,1,1,1
217,Ahmedabad,Vijay Stores,1,1,1
218,Ahmedabad,Vijay Stores,1,1,1
219,Vadodara,Sorefoz Mart,1,1,1
220,Surat,Lotus Mart,0,1,0
221,Ahmedabad,Chiptec Stores,1,0,0
222,Ahmedabad,Chiptec Stores,1,1,1
223,Ahmedabad,Propel Mart,1,0,0
224,Vadodara,Rel Fresh,1,1,1
225,Vadodara,Vijay Stores,1,0,0
226,Vadodara,Vijay Stores,1,0,0
227,Surat,Rel Fresh,1,1,1
228,Surat,Chiptec Stores,1,1,1
229,Surat,Acclaimed Stores,0,0,0
230,Vadodara,Expert Mart,1,1,1
231,Surat,Atlas Stores,1,1,1
232,Surat,Atlas Stores,1,1,1
233,Ahmedabad,Logic Stores,1,1,1
234,Surat,Viveks Stores,1,1,1
235,Surat,Vijay Stores,1,1,1
236,Surat,Vijay Stores,1,1,1
237,Vadodara,Sorefoz Mart,1,1,1
238,Ahmedabad,Chiptec Stores,1,1,1
239,Vadodara,Rel Fresh,0,0,0
240,Vadodara,Rel Fresh,1,0,0
241,Vadodara,Elite Mart,1,0,0
242,Vadodara,Coolblue,0,0,0
243,Ahmedabad,Rel Fresh,1,1,1
244,Ahmedabad,Rel Fresh,1,1,1
245,Vadodara,Propel Mart,1,1,1
246,Surat,Propel Mart,1,1,1
247,Vadodara,Viveks Stores,1,1,1
248,Surat,Lotus Mart,0,1,0
249,Surat,Lotus Mart,0,1,0
250,Vadodara,Expert Mart,1,0,0
251,Surat,Acclaimed Stores,1,0,0
252,Vadodara,Lotus Mart,0,1,0
253,Vadodara,Info Stores,0,1,0
254,Surat,Viveks Stores,1,0,0
255,Vadodara,Viveks Stores,1,1,1
256,Ahmedabad,Rel Fresh,1,1,1
257,Ahmedabad,Sorefoz Mart,1,0,0
258,Vadodara,Sorefoz Mart,1,1,1
259,Vadodara,Lotus Mart,0,1,0
260,Vadodara,Coolblue,0,0,0
261,Surat,Rel Fresh,1,0,0
262,Vadodara,Vijay Stores,1,0,0
263,Vadodara,Vijay Stores,1,0,0
264,Vadodara,Propel Mart,1,1,1
265,Surat,Acclaimed Stores,1,0,0
266,Surat,Atlas Stores,1,0,0
267,Vadodara,Info Stores,0,1,0
268,Ahmedabad,Atlas Stores,1,0,0
269,Surat,Propel Mart,1,1,1
270,Surat,Lotus Mart,1,1,1
271,Ahmedabad,Coolblue,0,0,0
272,Ahmedabad,Lotus Mart,0,0,0
273,Vadodara,Elite Mart,0,0,0
274,Vadodara,Elite Mart,1,0,0
275,Vadodara,Sorefoz Mart,1,1,1
276,Vadodara,Expression Stores,1,1,1
277,Surat,Expression Stores,1,0,0
278,Vadodara,Rel Fresh,1,1,1
279,Ahmedabad,Rel Fresh,1,1,1
280,Ahmedabad,Logic Stores,1,0,0
281,Ahmedabad,Logic Stores,1,1,1
282,Ahmedabad,Expert Mart,1,1,1
283,Ahmedabad,Vijay Stores,0,1,0
284,Ahmedabad,Vijay Stores,1,1,1
285,Ahmedabad,Propel Mart,1,1,1
286,Ahmedabad,Propel Mart,1,1,1
287,Vadodara,Expert Mart,1,1,1
288,Ahmedabad,Elite Mart,1,1,1
289,Surat,Chiptec Stores,0,1,0
290,Surat,Chiptec Stores,0,0,0
291,Vadodara,Propel Mart,1,1,1
292,Vadodara,Sorefoz Mart,1,0,0
293,Vadodara,Expression Stores,1,0,0
294,Ahmedabad,Logic Stores,1,0,0
295,Ahmedabad,Lotus Mart,0,1,0
296,Ahmedabad,Lotus Mart,0,0,0
297,Surat,Vijay Stores,0,1,0
298,Surat,Propel Mart,1,1,1
299,Vadodara,Viveks Stores,1,1,1
300,Surat,Info Stores,0,0,0
301,Surat,Rel Fresh,1,1,1
302,Ahmedabad,Acclaimed Stores,0,1,0
303,Ahmedabad,Acclaimed Stores,1,1,1
304,Surat,Acclaimed Stores,0,1,0
305,Surat,Logic Stores,1,1,1
306,Ahmedabad,Rel Fresh,1,0,0
307,Ahmedabad,Rel Fresh,1,1,1
308,Vadodara,Acclaimed Stores,1,0,0
309,Vadodara,Rel Fresh,1,1,1
310,Vadodara,Vijay Stores,1,0,0
311,Ahmedabad,Logic Stores,1,1,1
312,Vadodara,Acclaimed Stores,1,0,0
313,Surat,Info Stores,0,1,0
314,Surat,Info Stores,1,0,0
315,Vadodara,Sorefoz Mart,1,1,1
316,Surat,Logic Stores,0,1,0
317,Surat,Lotus Mart,1,0,0
318,Vadodara,Expert Mart,1,1,1
319,Vadodara,Expert Mart,1,1,1
320,Vadodara,Coolblue,0,0,0
321,Surat,Viveks Stores,1,0,0
322,Surat,Viveks Stores,1,1,1
323,Ahmedabad,Sorefoz Mart,1,1,1
324,Ahmedabad,Atlas Stores,1,1,1
325,Ahmedabad,Rel Fresh,0,1,0
326,Vadodara,Propel Mart,1,1,1
327,Ahmedabad,Coolblue,0,1,0
328,Surat,Vijay Stores,1,1,1
329,Ahmedabad,Propel Mart,0,0,0
330,Ahmedabad,Propel Mart,1,1,1
331,Vadodara,Elite Mart,1,1,1
332,Vadodara,Rel Fresh,1,1,1
333,Vadodara,Info Stores,1,1,1
334,Vadodara,Lotus Mart,1,1,1
335,Vadodara,Lotus Mart,0,1,0
336,Surat,Vijay Stores,1,1,1
337,Surat,Propel Mart,1,0,0
338,Surat,Chiptec Stores,1,0,0
339,Surat,Chiptec Stores,1,1,1
340,Ahmedabad,Logic Stores,1,0,0
341,Ahmedabad,Rel Fresh,1,1,1
342,Vadodara,Viveks Stores,0,1,0
343,Ahmedabad,Coolblue,1,1,1
344,Ahmedabad,Atlas Stores,1,1,1
345,Ahmedabad,Atlas Stores,1,0,0
346,Ahmedabad,Chiptec Stores,1,0,0
347,Surat,Viveks Stores,1,1,1
348,Surat,Info Stores,1,0,0
349,Vadodara,Expert Mart,1,1,1
350,Ahmedabad,Elite Mart,1,1,1
351,Ahmedabad,Propel Mart,1,1,1
352,Ahmedabad,Sorefoz Mart,1,0,0
353,Surat,Acclaimed Stores,1,0,0
354,Surat,Chiptec Stores,1,0,0
355,Vadodara,Info Stores,1,1,1
356,Ahmedabad,Expert Mart,1,1,1
357,Ahmedabad,Chiptec Stores,1,0,0
358,Surat,Lotus Mart,0,0,0
359,Surat,Lotus Mart,0,1,0
360,Surat,Atlas Stores,1,0,0
361,Vadodara,Coolblue,0,0,0
362,Vadodara,Coolblue,0,1,0
363,Vadodara,Expression Stores,1,0,0
364,Surat,Logic Stores,1,1,1
365,Surat,Logic Stores,1,0,0
366,Vadodara,Sorefoz Mart,1,1,1
367,Surat,Vijay Stores,0,0,0
368,Vadodara,Acclaimed Stores,0,1,0
369,Ahmedabad,Coolblue,0,1,0
370,Vadodara,Elite Mart,1,0,0
371,Vadodara,Elite Mart,1,0,0
372,Ahmedabad,Propel Mart,1,1,1
373,Vadodara,Lotus Mart,0,1,0
374,Ahmedabad,Logic Stores,1,1,1
375,Vadodara,Sorefoz Mart,1,1,1
376,Ahmedabad,Vijay Stores,0,1,0
377,Vadodara,Vijay Stores,1,0,0
378,Ahmedabad,Chiptec Stores,1,0,0
379,Ahmedabad,Chiptec Stores,0,1,0
380,Vadodara,Viveks Stores,0,0,0
381,Ahmedabad,Acclaimed Stores,0,0,0
382,Ahmedabad,Sorefoz Mart,1,0,0
383,Ahmedabad,Sorefoz Mart,1,0,0
384,Ahmedabad,Elite Mart,1,1,1
385,Surat,Propel Mart,1,0,0
386,Ahmedabad,Logic Stores,1,0,0
387,Surat,Info Stores,1,1,1
388,Ahmedabad,Propel Mart,1,1,1
389,Ahmedabad,Atlas Stores,1,1,1
390,Vadodara,Expert Mart,1,1,1
391,Ahmedabad,Elite Mart,1,1,1
392,Vadodara,Viveks Stores,1,1,1
393,Ahmedabad,Chiptec Stores,1,1,1
394,Surat,Lotus Mart,0,0,0
395,Surat,Atlas Stores,1,1,1
396,Surat,Vijay Stores,1,0,0
397,Surat,Vijay Stores,1,1,1
398,Ahmedabad,Vijay Stores,1,0,0
399,Ahmedabad,Expert Mart,0,1,0
400,Vadodara,Coolblue,0,1,0
401,Surat,Chiptec Stores,1,1,1
402,Surat,Rel Fresh,1,1,1
403,Surat,Expression Stores,1,0,0
404,Vadodara,Rel Fresh,0,0,0
405,Vadodara,Rel Fresh,1,1,1
406,Ahmedabad,Rel Fresh,1,0,0
407,Ahmedabad,Coolblue,1,1,1
408,Surat,Acclaimed Stores,1,0,0
409,Vadodara,Vijay Stores,1,1,1
410,Vadodara,Info Stores,1,1,1
411,Vadodara,Viveks Stores,1,0,0
412,Surat,Vijay Stores,1,1,1
413,Vadodara,Sorefoz Mart,1,1,1
414,Ahmedabad,Sorefoz Mart,1,0,0
415,Ahmedabad,Sorefoz Mart,1,1,1
416,Vadodara,Expression Stores,1,1,1
417,Ahmedabad,Chiptec Stores,1,1,1
418,Surat,Viveks Stores,1,1,1
419,Vadodara,Rel Fresh,1,1,1
420,Vadodara,Rel Fresh,1,1,1
421,Ahmedabad,Chiptec Stores,1,1,1
422,Vadodara,Elite Mart,1,0,0
423,Vadodara,Elite Mart,1,1,1
424,Surat,Viveks Stores,1,0,0
425,Surat,Lotus Mart,0,1,0
426,Surat,Rel Fresh,1,1,1
427,Ahmedabad,Elite Mart,1,0,0
428,Vadodara,Sorefoz Mart,1,1,1
429,Vadodara,Viveks Stores,1,1,1
430,Vadodara,Coolblue,1,0,0
431,Vadodara,Coolblue,0,1,0
432,Ahmedabad,Vijay Stores,1,1,1
433,Ahmedabad,Vijay Stores,1,1,1
434,Ahmedabad,Rel Fresh,1,1,1
435,Ahmedabad,Rel Fresh,1,1,1
436,Surat,Logic Stores,1,1,1
437,Vadodara,Expression Stores,1,0,0
438,Ahmedabad,Acclaimed Stores,1,1,1
439,Ahmedabad,Coolblue,0,1,0
440,Ahmedabad,Sorefoz Mart,0,0,0
441,Surat,Expression Stores,1,1,1
442,Surat,Expression Stores,0,1,0
443,Surat,Info Stores,1,0,0
444,Vadodara,Expert Mart,1,1,1
445,Vadodara,Propel Mart,1,1,1
446,Ahmedabad,Chiptec Stores,1,1,1
447,Ahmedabad,Elite Mart,1,1,1
448,Vadodara,Info Stores,1,1,1
449,Vadodara,Info Stores,1,1,1
450,Vadodara,Elite Mart,1,1,1
451,Surat,Expression Stores,0,1,0
452,Ahmedabad,Propel Mart,1,1,1
453,Vadodara,Expression Stores,0,1,0
454,Vadodara,Coolblue,1,0,0
455,Vadodara,Lotus Mart,0,1,0
456,Vadodara,Lotus Mart,0,1,0
457,Vadodara,Propel Mart,1,0,0
458,Ahmedabad,Acclaimed Stores,0,1,0
459,Ahmedabad,Acclaimed Stores,0,1,0
460,Vadodara,Acclaimed Stores,1,1,1
461,Vadodara,Expert Mart,1,1,1
462,Vadodara,Coolblue,1,0,0
463,Surat,Vijay Stores,1,1,1
464,Surat,Propel Mart,1,1,1
465,Ahmedabad,Vijay Stores,1,1,1
466,Ahmedabad,Vijay Stores,1,1,1
467,Ahmedabad,Logic Stores,1,1,1
468,Ahmedabad,Chiptec Stores,0,1,0
469,Vadodara,Lotus Mart,0,0,0
470,Vadodara,Lotus Mart,1,0,0
471,Ahmedabad,Atlas Stores,1,1,1
472,Vadodara,Sorefoz Mart,1,1,1
473,Vadodara,Sorefoz Mart,1,1,1
474,Surat,Info Stores,1,0,0
475,Surat,Info Stores,1,0,0
476,Ahmedabad,Sorefoz Mart,1,1,1
477,Ahmedabad,Elite Mart,1,0,0
478,Vadodara,Propel Mart,1,1,1
479,Ahmedabad,Acclaimed Stores,1,1,1
480,Vadodara,Vijay Stores,1,1,1
481,Surat,Rel Fresh,0,1,0
482,Ahmedabad,Logic Stores,1,1,1
483,Vadodara,Expression Stores,1,1,1
484,Surat,Chiptec Stores,1,0,0
485,Vadodara,Viveks Stores,1,0,0
486,Surat,Logic Stores,1,1,1
487,Vadodara,Info Stores,1,1,1
488,Vadodara,Info Stores,1,1,1
489,Vadodara,Elite Mart,1,1,1
490,Ahmedabad,Vijay Stores,0,1,0
491,Vadodara,Rel Fresh,1,1,1
492,Surat,Lotus Mart,0,0,0
493,Surat,Viveks Stores,1,1,1
494,Surat,Atlas Stores,1,1,1
495,Surat,Lotus Mart,1,1,1
496,Surat,Chiptec Stores,1,0,0
497,Surat,Chiptec Stores,1,1,1
498,Vadodara,Info Stores,0,0,0
499,Surat,Info Stores,1,0,0
500,Surat,Acclaimed Stores,0,0,0
501,Vadodara,Propel Mart,1,1,1
502,Ahmedabad,Chiptec Stores,1,1,1
503,Ahmedabad,Expert Mart,0,1,0
504,Vadodara,Expert Mart,1,1,1
505,Ahmedabad,Lotus Mart,0,0,0
506,Ahmedabad,Vijay Stores,0,1,0
507,Ahmedabad,Vijay Stores,1,0,0
508,Ahmedabad,Rel Fresh,1,1,1
509,Vadodara,Coolblue,0,0,0
510,Ahmedabad,Expert Mart,1,1,1
511,Surat,Lotus Mart,0,1,0
512,Surat,Propel Mart,0,1,0
513,Ahmedabad,Propel Mart,1,1,1
514,Ahmedabad,Elite Mart,1,0,0
515,Ahmedabad,Logic Stores,1,1,1
516,Vadodara,Vijay Stores,1,0,0
517,Vadodara,Lotus Mart,1,1,1
518,Vadodara,Viveks Stores,0,1,0
519,Vadodara,Sorefoz Mart,1,1,1
520,Surat,Atlas Stores,1,0,0
521,Vadodara,Elite Mart,1,0,0
522,Vadodara,Elite Mart,0,0,0
523,Surat,Acclaimed Stores,0,1,0
524,Surat,Acclaimed Stores,0,1,0
525,Vadodara,Lotus Mart,1,1,1
526,Surat,Viveks Stores,1,0,0
527,Ahmedabad,Elite Mart,1,1,1
528,Surat,Info Stores,1,0,0
529,Vadodara,Acclaimed Stores,0,1,0
530,Ahmedabad,Atlas Stores,1,1,1
531,Surat,Vijay Stores,1,1,1
532,Surat,Vijay Stores,1,1,1
533,Ahmedabad,Acclaimed Stores,0,1,0
534,Ahmedabad,Lotus Mart,0,0,0
535,Ahmedabad,Propel Mart,1,1,1
536,Surat,Atlas Stores,1,1,1
537,Ahmedabad,Rel Fresh,1,1,1
538,Surat,Expression Stores,1,1,1
539,Surat,Expression Stores,0,1,0
540,Vadodara,Viveks Stores,1,1,1
541,Vadodara,Viveks Stores,1,0,0
542,Surat,Expression Stores,0,1,0
543,Ahmedabad,Sorefoz Mart,1,0,0
544,Surat,Lotus Mart,0,1,0
545,Ahmedabad,Propel Mart,1,0,0
546,Vadodara,Rel Fresh,1,1,1
547,Ahmedabad,Coolblue,1,0,0
548,Vadodara,Acclaimed Stores,0,0,0
549,Vadodara,Expert Mart,1,1,1
550,Ahmedabad,Elite Mart,1,0,0
551,Surat,Viveks Stores,1,0,0
552,Ahmedabad,Lotus Mart,0,0,0
553,Vadodara,Coolblue,1,0,0
554,Vadodara,Propel Mart,1,1,1
555,Surat,Atlas Stores,1,0,0
556,Surat,Rel Fresh,1,1,1
557,Vadodara,Acclaimed Stores,1,1,1
558,Vadodara,Expression Stores,1,1,1
559,Vadodara,Info Stores,1,1,1
560,Ahmedabad,Chiptec Stores,0,1,0
561,Ahmedabad,Chiptec Stores,1,1,1
562,Vadodara,Rel Fresh,1,1,1
563,Ahmedabad,Coolblue,0,1,0
564,Ahmedabad,Logic Stores,1,1,1
565,Ahmedabad,Sorefoz Mart,1,1,1
566,Vadodara,Coolblue,0,0,0
567,Ahmedabad,Lotus Mart,0,1,0
568,Vadodara,Viveks Stores,1,1,1
569,Surat,Expression Stores,1,0,0
570,Ahmedabad,Propel Mart,1,1,1
571,Ahmedabad,Propel Mart,1,1,1
572,Vadodara,Info Stores,1,1,1
573,Ahmedabad,Propel Mart,1,1,1
574,Vadodara,Expert Mart,1,1,1
575,Ahmedabad,Coolblue,0,1,0
576,Surat,Viveks Stores,1,1,1
577,Ahmedabad,Vijay Stores,1,1,1
578,Ahmedabad,Sorefoz Mart,1,1,1
579,Vadodara,Sorefoz Mart,1,1,1
580,Surat,Expression Stores,1,1,1
581,Vadodara,Acclaimed Stores,0,1,0
582,Vadodara,Lotus Mart,1,1,1
583,Surat,Info Stores,1,0,0
584,Surat,Logic Stores,1,1,1
585,Surat,Logic Stores,1,0,0
586,Ahmedabad,Acclaimed Stores,1,1,1
587,Surat,Atlas Stores,1,1,1
588,Ahmedabad,Atlas Stores,1,1,1
589,Surat,Propel Mart,1,1,1
590,Ahmedabad,Coolblue,0,0,0
591,Vadodara,Acclaimed Stores,0,1,0
592,Vadodara,Acclaimed Stores,0,1,0
593,Ahmedabad,Acclaimed Stores,0,1,0
594,Ahmedabad,Acclaimed Stores,0,0,0
595,Vadodara,Expert Mart,1,0,0
596,Ahmedabad,Propel Mart,1,1,1
597,Ahmedabad,Propel Mart,1,1,1
598,Ahmedabad,Lotus Mart,0,0,0
599,Vadodara,Viveks Stores,1,1,1
600,Ahmedabad,Sorefoz Mart,1,1,1
601,Ahmedabad,Chiptec Stores,1,0,0
602,Vadodara,Vijay Stores,1,1,1
603,Ahmedabad,Rel Fresh,1,1,1
604,Ahmedabad,Sorefoz Mart,1,1,1
605,Vadodara,Coolblue,0,0,0
606,Vadodara,Coolblue,0,0,0
607,Ahmedabad,Atlas Stores,1,1,1
608,Vadodara,Elite Mart,1,0,0
609,Surat,Expression Stores,0,0,0
610,Surat,Expression Stores,0,1,0
611,Vadodara,Sorefoz Mart,1,0,0
612,Vadodara,Lotus Mart,0,1,0
613,Vadodara,Lotus Mart,0,1,0
614,Ahmedabad,Logic Stores,1,0,0
615,Vadodara,Info Stores,1,1,1
616,Surat,Atlas Stores,1,1,1
617,Surat,Rel Fresh,1,1,1
618,Surat,Logic Stores,1,1,1
619,Ahmedabad,Expert Mart,1,1,1
620,Ahmedabad,Rel Fresh,0,1,0
621,Ahmedabad,Coolblue,0,1,0
622,Vadodara,Rel Fresh,0,1,0
623,Vadodara,Lotus Mart,0,1,0
624,Surat,Rel Fresh,1,1,1
625,Surat,Rel Fresh,1,0,0
626,Ahmedabad,Logic Stores,1,1,1
627,Ahmedabad,Chiptec Stores,1,0,0
628,Ahmedabad,Chiptec Stores,1,1,1
629,Ahmedabad,Chiptec Stores,0,1,0
630,Vadodara,Acclaimed Stores,1,1,1
631,Vadodara,Acclaimed Stores,0,1,0
632,Vadodara,Expression Stores,1,0,0
633,Ahmedabad,Lotus Mart,0,1,0
634,Surat,Acclaimed Stores,1,0,0
635,Surat,Viveks Stores,1,1,1
636,Surat,Viveks Stores,1,0,0
